Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Africa Eastern and Southern,AFE,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,,,,,,,,,,,57.99855513,57.40304368,58.6580616,58.73400594,53.31057018,52.91848799,47.38446441,46.91645051,45.74939064,44.62222807,43.35256897,43.08623136,42.76256905,43.78362653,43.80948685,45.26322483,46.13377439,45.82817397,42.82266666,,
Africa Eastern and Southern,AFE,"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,,,,,,,,,,,27.59070889,31.80101685,30.95776028,33.21970089,35.59298676,37.19383761,39.46292877,43.05939259,42.70682707,40.49389346,41.12388971,45.25061389,41.68892575,46.28529149,43.22545671,45.29081612,48.10463729,47.73902442,46.35291598,,
Africa Eastern and Southern,AFE,Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,,,,,,,,,,,9.585394786,8.698426018,8.251125769,10.4720573,12.51102833,13.76049716,15.20510239,17.54009363,18.31503743,16.79688719,18.59810794,21.111892,19.86776967,21.65758095,20.59436775,20.94188729,21.31400872,23.43856151,17.14672227,,
Africa Eastern and Southern,AFE,Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,,,,,,,,,,,23.19202129,23.257836,24.02490428,22.16669053,21.37549197,21.28094977,21.66917497,22.56034654,22.87915012,20.19896237,19.21827972,19.21214846,18.69131375,20.81855322,20.37264049,21.75333435,23.32525823,23.42318873,18.20380231,,
Africa Eastern and Southern,AFE,"Domestic general government health expenditure per capita, PPP (current international $)",SH.XPD.GHED.PP.CD,,,,,,,,,,,42.46325046,46.11441511,42.32131524,45.2564024,53.31820269,55.98575869,64.63404496,70.31784012,73.00040415,77.03762167,77.6681741,80.9565326,85.4556785,86.86910009,89.89353279,94.86253558,93.97816841,92.81089746,94.88775147,,
Africa Eastern and Southern,AFE,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,,,,,,,,,,,14.71303215,13.70357942,11.96549857,16.65562299,23.15015088,25.31973463,29.8246828,33.69841029,34.76940657,36.52233128,43.28438752,48.25051095,48.17573792,45.07258946,44.09525374,41.61672194,38.26018358,42.01284137,41.7305148,,
Africa Eastern and Southern,AFE,Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,,,,,,,,,,,35.36882456,36.34912646,34.54628012,34.90296762,39.17714384,38.77007077,41.85732735,42.43495146,42.3727887,43.00518214,43.57273372,44.75380167,45.60407699,43.61787988,43.79375653,43.35996885,41.95093056,41.99626294,44.27589522,,
Africa Eastern and Southern,AFE,"External health expenditure per capita, PPP (current international $)",SH.XPD.EHEX.PP.CD,,,,,,,,,,,7.219611666,8.307393113,8.419666763,9.853910065,13.82944127,16.11771086,22.43190828,23.02068558,23.55403554,25.76004704,31.1532526,31.11452834,27.99388594,29.86452743,28.70372096,27.37661962,29.00627988,32.02619082,32.76852706,,
Africa Eastern and Southern,AFE,External health expenditure per capita (current US$),SH.XPD.EHEX.PC.CD,,,,,,,,,,,2.768978218,2.365307996,2.366286817,3.048022684,4.458963986,5.452632788,7.697124727,8.519206963,9.812640847,10.59589536,13.05917002,13.12261815,12.28472583,13.01960275,12.47729631,10.91135958,10.8637691,12.18052654,12.15990955,,
Africa Eastern and Southern,AFE,External health expenditure (% of current health expenditure),SH.XPD.EHEX.CH.ZS,,,,,,,,,,,6.632619967,6.24783102,6.795659338,6.363026535,7.512286683,8.311440782,10.75820943,10.64859742,11.87782057,12.37258826,13.07469844,12.15996786,11.63335458,12.5984949,12.39675552,11.37680598,11.91529684,12.1755654,12.90143857,,
Africa Eastern and Southern,AFE,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,,,,,,,,,,,115.0699284,126.0953386,122.625371,131.0579064,140.9660008,149.3884137,163.1613284,174.3852261,178.7218983,185.8847409,190.6538289,198.4080172,198.7509036,208.1861386,209.8807249,218.7724899,221.7597722,220.9748584,223.8318534,,
Africa Eastern and Southern,AFE,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,41.59157105,37.68653464,34.63420032,47.70510894,59.08396867,65.31615238,71.17383246,79.2727676,81.8070789,84.87945202,99.0729842,108.1627281,105.7364074,103.4708334,100.7518403,96.01765539,91.23398291,100.0454916,94.24283821,,
Africa Eastern and Southern,AFE,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Proportion of population spending more than 25% of household consumption or income on out-of-pocket health care expenditure (%),SH.UHC.OOPC.25.ZS,,,,,,,,,,,1.155804224,,,,,1.437085644,,,,,1.191901695,,,,,,,,,,
Africa Eastern and Southern,AFE,Number of people spending more than 25% of household consumption or income on out-of-pocket health care expenditure,SH.UHC.OOPC.25.TO,,,,,,,,,,,2925000,,,,,4196000,,,,,4015000,,,,,,,,,,
Africa Eastern and Southern,AFE,Proportion of population spending more than 10% of household consumption or income on out-of-pocket health care expenditure (%),SH.UHC.OOPC.10.ZS,,,,,,,,,,,6.811464787,,,,,8.178511839,,,,,7.602241833,,,,,,,,,,
Africa Eastern and Southern,AFE,Number of people spending more than 10% of household consumption or income on out-of-pocket health care expenditure,SH.UHC.OOPC.10.TO,,,,,,,,,,,17292000,,,,,23917000,,,,,25655000,,,,,,,,,,
Africa Eastern and Southern,AFE,Proportion of population pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure (%),SH.UHC.NOP2.ZS,,,,,,,,,,,1.674753547,,,,,1.120254282,,,,,0.794322552,,,,,,,,,,
Africa Eastern and Southern,AFE,Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (% of poverty line),SH.UHC.NOP2.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure,SH.UHC.NOP2.TO,,,,,,,,,,,4251000,,,,,3264000,,,,,2665000,,,,,,,,,,
Africa Eastern and Southern,AFE,Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),SH.UHC.NOP2.CG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Proportion of population pushed below the $1.90 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure (%),SH.UHC.NOP1.ZS,,,,,,,,,,,1.926887578,,,,,1.495916605,,,,,1.069277084,,,,,,,,,,
Africa Eastern and Southern,AFE,Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (% of poverty line),SH.UHC.NOP1.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Number of people pushed below the $1.90 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure,SH.UHC.NOP1.TO,,,,,,,,,,,4897000,,,,,4372000,,,,,3606000,,,,,,,,,,
Africa Eastern and Southern,AFE,Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),SH.UHC.NOP1.CG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Risk of impoverishing expenditure for surgical care (% of people at risk),SH.SGR.IRSK.ZS,,,,,,,,,,,,,,,,,,,,63.94117365,62.73109875,62.46474005,61.70061464,61.44635675,60.97438515,59.6942366,59.27969054,59.12931573,60.37362948,60.10596089,58.65720672
Africa Eastern and Southern,AFE,Risk of catastrophic expenditure for surgical care (% of people at risk),SH.SGR.CRSK.ZS,,,,,,,,,,,,,,,,,,,,53.08263173,51.84416476,49.96287488,49.3527441,48.87263811,48.8606228,47.56115558,46.05970343,46.89150364,48.53614653,48.00450621,46.10121704
Africa Eastern and Southern,AFE,Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),SH.HIV.PMTC.ZS,,,,,,,,,,,0.138084642,0.485517575,1.595951009,4.007430438,8.644052586,18.13765698,27.07082516,40.65274318,52.59131291,62.05107296,47.75835459,64.51335245,75.59514732,82.7126341,85.69422071,87.33415871,87.48064069,87.44628197,89.03891452,90.1318885,90.52021371
Africa Eastern and Southern,AFE,"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)",SH.HIV.INCD.ZS,7.230936008,7.991980033,8.563537825,8.846051986,8.86880601,8.682497013,8.405166419,8.109849674,7.803269869,7.489392756,7.15138482,6.763762079,6.371103944,5.997610092,5.674937999,5.404421102,5.137230827,4.899693958,4.663572527,4.464312022,4.259488697,4.029216635,3.794465651,3.507864002,3.247704842,2.994821939,2.771756908,2.544230193,2.291345723,2.092384003,1.865459649
Africa Eastern and Southern,AFE,"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)",SH.HIV.INCD.YG.P3,7.061236903,7.84228268,8.536823895,9.000367981,9.201094386,9.159410928,8.909281431,8.614154501,8.28987653,7.939922308,7.556325872,7.126894251,6.678552386,6.252241023,5.880722222,5.57890991,5.289289093,5.03366343,4.769708793,4.535083028,4.290635875,4.036408921,3.789722146,3.49130588,3.228918239,2.960802654,2.728828413,2.502913488,2.248548135,2.057311866,1.841712933
Africa Eastern and Southern,AFE,Young people (ages 15-24) newly infected with HIV,SH.HIV.INCD.YG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Incidence of HIV, all (per 1,000 uninfected population)",SH.HIV.INCD.TL.P3,4.083047129,4.532151634,4.873972514,5.065631027,5.12241822,5.072909868,4.967920007,4.845260746,4.696027838,4.540557635,4.364966402,4.158934914,3.948149174,3.748564688,3.56637248,3.395473898,3.221726497,3.042713575,2.859720134,2.696215461,2.541382098,2.351746255,2.180686252,2.01069248,1.862769334,1.715727122,1.595574326,1.468801475,1.321840854,1.208933425,1.087471585
Africa Eastern and Southern,AFE,Adults (ages 15+) and children (ages 0-14) newly infected with HIV,SH.HIV.INCD.TL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Children (ages 0-14) newly infected with HIV,SH.HIV.INCD.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Adults (ages 15-49) newly infected with HIV,SH.HIV.INCD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Antiretroviral therapy coverage (% of people living with HIV),SH.HIV.ARTC.ZS,,,,,,,,,,,0,0.099409842,0.393055206,0.679105818,1.766801818,3.522215362,6.16312821,10.32327005,14.65154742,18.95030258,24.30270976,29.8532903,36.16775573,41.7573105,47.94972724,53.0798615,58.75497329,64.29468864,67.64683693,73.02405425,77.07145838
Africa Eastern and Southern,AFE,"Prevalence of HIV, male (% ages 15-24)",SH.HIV.1524.MA.ZS,1.10055842,1.256249046,1.413656151,1.533670733,1.669166957,1.765881577,1.83369407,1.854469284,1.84282358,1.820946361,1.799753013,1.762269294,1.717948508,1.668585253,1.612754874,1.574062523,1.518693183,1.467165724,1.437465903,1.407339393,1.38447075,1.359897653,1.333549788,1.305967801,1.270529228,1.248595691,1.190792114,1.150030773,1.092310194,1.063029431,1.011660571
Africa Eastern and Southern,AFE,"Prevalence of HIV, female (% ages 15-24)",SH.HIV.1524.FE.ZS,3.041360372,3.546554502,4.057939234,4.5087239,4.889646498,5.182920717,5.376826096,5.486081578,5.487844558,5.431805385,5.322962099,5.183403478,5.004476467,4.801544824,4.621460492,4.429535201,4.271515514,4.075253159,3.938859631,3.797592887,3.669577237,3.533841194,3.411058773,3.296092428,3.162348125,3.044963487,2.898701317,2.767853217,2.623715548,2.481401483,2.329054133
Africa Eastern and Southern,AFE,Children (0-14) living with HIV,SH.HIV.0014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,2.915788047,3.462280952,4.002409765,4.517716164,4.969929027,5.379183524,5.688200021,5.955397215,6.150195398,6.270808437,6.353239665,6.374059226,6.345319826,6.275728999,6.202772801,6.112756465,6.011074034,5.949376141,5.880427452,5.866548487,5.832919746,5.801838342,5.760351576,5.696382966,5.653274036,5.563594787,5.495034153,5.371652721,5.269306447,5.145697005,4.996785439
Africa Eastern and Southern,AFE,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,56.05144071,56.35656337,56.46989605,56.29319452,57.04850784,56.82866157,57.19581393,57.17871645,57.4025464,57.58851925,57.77853545,57.93532965,58.04670268,58.15070998,58.23384964,58.25799678,58.30673337,58.25613083,58.31394935,58.34222169,58.36308401,58.42923524,58.58720069,58.6944864,58.91804104,59.12129737,59.41643895,59.64775269,59.85173632,60.06244411,60.28077796
Afghanistan,AFG,"Domestic private health expenditure per capita, PPP (current international $)",SH.XPD.PVTD.PP.CD,,,,,,,,,,,,,66.41654205,67.93387604,72.39071655,76.12527466,83.65198517,80.19521332,94.65650177,103.1888351,108.6375351,100.3364639,106.7748337,116.6486511,132.8321991,149.9073181,158.5022125,172.2431183,146.1112213,,
Afghanistan,AFG,Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD,,,,,,,,,,,,,13.49204731,14.66252804,17.25441742,18.86635017,21.38543892,24.44519043,28.73069572,30.36549568,35.54101563,37.25279617,38.31590271,39.65127182,43.10952377,46.1722908,45.72795105,49.59756851,39.06802368,,
Afghanistan,AFG,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,,,,,,,,,,,,,85.37561035,86.06919098,84.52759552,78.97008514,76.82497406,78.16999054,75.40338898,72.77924347,78.9966507,73.25517273,74.48620605,72.04786682,73.05592346,78.3822937,75.97433472,75.48404694,78.38278198,,
Afghanistan,AFG,"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,,,,,,,,,,,,,66.41654205,67.93387604,72.39071655,76.12527466,83.65198517,80.19521332,94.65650177,103.1888351,108.6375351,100.3364639,106.7748337,116.6486511,132.8321991,149.9073181,158.5022125,172.2397614,146.1112213,,
Afghanistan,AFG,Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,,,,,,,,,,,,,13.49204731,14.66252804,17.25441742,18.86635017,21.38543892,24.44519043,28.73069572,30.36549568,35.54101563,37.25279617,38.31590271,39.65127182,43.10952377,46.1722908,45.72795105,49.59660339,39.06802368,,
Afghanistan,AFG,Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,,,,,,,,,,,,,85.37561035,86.06919098,84.52759552,78.97008514,76.82497406,78.16999054,75.40338898,72.77924347,78.9966507,73.25517273,74.48620605,72.04786682,73.05592346,78.3822937,75.97433472,75.48257446,78.38278198,,
Afghanistan,AFG,"Domestic general government health expenditure per capita, PPP (current international $)",SH.XPD.GHED.PP.CD,,,,,,,,,,,,,0.69346839,5.74640894,4.74049044,5.12772369,5.10300493,5.79983377,7.68390131,7.68092346,7.5287962,7.67875957,6.22403908,8.1515007,9.01887131,9.89198589,10.59370518,11.62788296,9.64153671,,
Afghanistan,AFG,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,,,,,,,,,,,,,0.14087316,1.24027777,1.12990189,1.27081895,1.30457151,1.76791167,2.33226275,2.26027417,2.46306276,2.85096025,2.23348212,2.77086258,2.92699552,3.04678655,3.05628777,3.34825993,2.57800722,,
Afghanistan,AFG,Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,,,,,,,,,,,,,1.21245611,5.45767879,3.60296822,3.37097836,2.72002935,2.60708547,3.00128436,2.51257253,2.25547075,2.18811941,1.37000275,1.77506948,1.8606739,2.01440573,2.14110541,2.31911564,1.79805613,,
Afghanistan,AFG,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,,,,,,,,,,,,,0.08418062,0.65096337,0.5429256,0.5291841,0.49784002,0.55994755,0.62779981,0.53190351,0.46915734,0.47999978,0.34288675,0.44335932,0.47265697,0.52267283,0.55663341,0.60014659,0.48597482,,
Afghanistan,AFG,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,,,,,,,,,,,,,0.89142376,7.28044415,5.53527164,5.31934786,4.6865387,5.65336657,6.12099695,5.41736698,5.47462463,5.60622501,4.34189463,5.03476191,4.96025801,5.17223978,5.0778451,5.09581852,5.17229605,,
Afghanistan,AFG,"External health expenditure per capita, PPP (current international $)",SH.XPD.EHEX.PP.CD,,,,,,,,,,,,,10.68333817,5.24909019,8.5103159,15.1446085,20.13145256,16.59575081,23.19308472,30.91357231,21.35536575,28.95322037,30.34958649,37.10423279,39.97155762,31.45219612,39.53007889,44.31379318,30.65452385,,
Afghanistan,AFG,External health expenditure per capita (current US$),SH.XPD.EHEX.PC.CD,,,,,,,,,,,,,2.17024398,1.13293898,2.02844453,3.75333309,5.14656019,5.05873489,7.03970051,9.09697247,6.98645592,10.74971485,10.89087868,12.61249256,12.97241879,9.68745232,11.40444183,12.76019955,8.19657612,,
Afghanistan,AFG,External health expenditure (% of current health expenditure),SH.XPD.EHEX.CH.ZS,,,,,,,,,,,,,13.73297119,6.65036345,9.9371376,15.71056557,18.48848534,16.17664719,18.47561455,21.8033886,15.52872467,21.13860512,21.17189598,22.91737556,21.98381996,16.44546318,18.94781876,19.42013359,16.44491768,,
Afghanistan,AFG,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,,,,,,,,,,,,,77.79334259,78.92937469,85.64152527,96.39759827,108.8864365,102.5907974,125.533493,141.7833405,137.521698,136.9684448,143.3484497,161.9043884,181.8226166,191.2515106,208.6259918,228.1847839,186.4072876,,
Afghanistan,AFG,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,15.80316353,17.03574371,20.4127636,23.89050102,27.83657074,31.27183914,38.10266113,41.72274399,44.99053192,50.85347366,51.44026184,55.03462982,59.00893402,58.90652847,60.18867111,65.70602417,49.84260941,,
Afghanistan,AFG,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,,,,,,,,,,,,,9.44338989,8.94125843,9.80847359,9.94828987,10.62276554,9.90467453,10.25649548,9.81848717,8.56967163,8.56190681,7.89716816,8.80596447,9.52887821,10.10534763,10.96199989,11.77723598,9.39572716,,
Afghanistan,AFG,Proportion of population spending more than 25% of household consumption or income on out-of-pocket health care expenditure (%),SH.UHC.OOPC.25.ZS,,,,,,,,,,,,,,,,,,0.065602973,,,,,,2.013511956,,,,,,,
Afghanistan,AFG,Number of people spending more than 25% of household consumption or income on out-of-pocket health care expenditure,SH.UHC.OOPC.25.TO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
